 Descriptor,Time,Date,Day of Week,Police Report,Lighting Conditions,Municipality,Collision Type Descriptor,County Name,Road Descriptor,Weather Conditions,Traffic Control Device,Road Surface Conditions,Pedestrian Bicyclist Action,Event Descriptor,Number of Vehicles Involved
 Accident,5:35,06/18/2014,Wednesday,Y,Dawn,NEW YORK,OTHER,NEW YORK,Straight and Level,Clear,None,Dry,"Crossing, No Signal or Crosswalk","Pedestrian, Collision With",1
 Damage Accident,15:28,11/06/2014,Thursday,Y,Daylight,HENRIETTA,RIGHT ANGLE,MONROE,Straight and Level,Rain,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,15:27,03/19/2014,Wednesday,Y,Daylight,CICERO,OVERTAKING,ONONDAGA,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,4:03,06/23/2014,Monday,Y,Dark-Road Unlighted,COLESVILLE,OTHER,BROOME,Straight and Grade,Clear,None,Dry,Not Applicable,Deer,1
 Damage Accident,15:28,09/27/2014,Saturday,Y,Daylight,HECTOR,OTHER,SCHUYLER,Straight and Level,Cloudy,None,Dry,Not Applicable,Deer,1
 Damage Accident,18:01,02/12/2014,Wednesday,Y,Dark-Road Unlighted,PLATTSBURG,OTHER,CLINTON,Straight and Level,Clear,None,Dry,Not Applicable,Deer,1
 Accident,17:15,10/02/2014,Thursday,N,Unknown,QUEENS,OVERTAKING,QUEENS,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,8:28,09/22/2014,Monday,Y,Daylight,KINGS,REAR END,KINGS,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,14:25,06/05/2014,Thursday,Y,Daylight,KINGSTON,OTHER,ULSTER,Straight and Grade,Clear,None,Dry,Not Applicable,"Animal, Collision With",1
 Accident,15:15,03/27/2014,Thursday,Y,Daylight,HUNTINGTON,Unknown,SUFFOLK,Straight and Level,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,14:30,12/26/2014,Friday,Y,Unknown,QUEENS,REAR END,QUEENS,Straight and Grade,Clear,Unknown,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,14:10,10/13/2014,Monday,Y,Daylight,QUEENS,OTHER,QUEENS,Straight and Level,Cloudy,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Accident,15:30,05/19/2014,Monday,Y,Daylight,KINGS,REAR END,KINGS,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,16:35,02/14/2014,Friday,Y,Dusk,WAPPINGER,RIGHT ANGLE,DUTCHESS,Straight and Level,Clear,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,18:23,08/07/2014,Thursday,Y,Daylight,BUFFALO,Unknown,ERIE,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,21:30,01/14/2014,Tuesday,N,Dark-Road Unlighted,CAIRO,OTHER,GREENE,Curve and Level,Clear,None,Dry,Not Applicable,Deer,1
 Accident,0:00,09/20/2014,Saturday,N,Unknown,KINGS,REAR END,KINGS,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,6:05,06/15/2014,Sunday,Y,Daylight,TONAWANDA,OVERTAKING,ERIE,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,1:30,06/16/2014,Monday,N,Dark-Road Unlighted,QUEENS,OVERTAKING,QUEENS,Straight and Level,Clear,Unknown,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,21:00,08/26/2014,Tuesday,Y,Dusk,KINGS,Unknown,KINGS,Straight and Level,Clear,Yield Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,15:42,11/23/2014,Sunday,Y,Daylight,ISLIP,LEFT TURN (3),SUFFOLK,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,16:40,08/11/2014,Monday,Y,Daylight,BRUTUS,OTHER,CAYUGA,Curve and Level,Clear,None,Dry,Not Applicable,"Other Object (Not Fixed)*, Collision With",1
 Damage Accident,18:42,07/01/2014,Tuesday,Y,Daylight,GRAND ISLAND,RIGHT ANGLE,ERIE,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,18:40,07/22/2014,Tuesday,Y,Daylight,QUEENS,Unknown,QUEENS,Straight and Level,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,11:45,03/31/2014,Monday,N,Unknown,RIVERHEAD,Unknown,SUFFOLK,Unknown,Snow,Unknown,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,8:15,10/03/2014,Friday,Y,Daylight,BRONX,OTHER,BRONX,Straight and Level,Clear,Traffic Signal,Dry,"Crossing, With Signal","Pedestrian, Collision With",1
 Accident,16:30,04/19/2014,Saturday,Y,Daylight,KINGS,OTHER,KINGS,Straight and Level,Clear,None,Dry,"Crossing, No Signal or Crosswalk","Pedestrian, Collision With",1
 Damage Accident,23:58,09/23/2014,Tuesday,Y,Dark-Road Unlighted,NEW PALTZ,OTHER,ULSTER,Straight and Level,Clear,No Passing Zone,Dry,Not Applicable,Deer,1
 Damage Accident,19:05,10/03/2014,Friday,Y,Dark-Road Lighted,HEMPSTEAD,REAR END,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,6:00,06/21/2014,Saturday,Y,Daylight,CORNWALL,OTHER,ORANGE,Straight and Level,Clear,None,Dry,Not Applicable,Deer,1
 Damage & Injury Accident,13:40,07/26/2014,Saturday,Y,Daylight,ISLIP,OTHER,SUFFOLK,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,19:27,05/04/2014,Sunday,Y,Dusk,KINGS,Unknown,KINGS,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,15:29,06/04/2014,Wednesday,Y,Daylight,KINGS,REAR END,KINGS,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
